Round,CRITIC_Alive,LEACH_Alive,CRITIC_Delay,LEACH_Delay
0,100,100,2.0643842936359227,3.5485449630854244
1,83,99,1.8751879629573789,3.7689705373790807
2,55,86,0.8192819486538775,3.1353720347494463
3,44,79,0.49986169157964344,2.887233386738952
4,40,75,0.388696047570809,2.437732807123565
5,40,70,0.4543716515347648,2.141131668864652
6,40,66,0.43516124259659117,3.619984832948879
7,36,38,0.35499256101712034,1.7490972781103717
8,32,21,0.3184241747572097,0.7122431031031806
9,30,14,0.21614452182965674,0.5816843189464181
10,30,7,0.2607319489426949,0.35379620473963325
11,30,2,0.27244953942321304,0.07614805217069973
12,26,0,0.22509995548078623,
13,24,0,0.23875072233490727,
14,20,0,0.17763259972231354,
15,15,0,0.15553061806689433,
16,4,0,0.017892704739232115,
